scheme,Year,Source,Link
Church et.al.,2012,paper,https://www.science.org/doi/10.1126/science.1226355
Goldman et.al.,2013,paper,https://www.nature.com/articles/nature11875
Blawat et.al.,2016,paper,https://www.sciencedirect.com/science/article/pii/S1877050916308742?via%3Dihub
Grass et.al.,2015,paper,https://onlinelibrary.wiley.com/doi/10.1002/anie.201411378
Fountain code,2017,paper,https://www.science.org/doi/10.1126/science.aaj2038
"Random access, Organick et,al.",2018,paper,https://www.nature.com/articles/nbt.4079
Yin-yang codec,2022,paper,https://www.nature.com/articles/s43588-022-00231-2
DNA-Aeon,2023,paper,https://www.nature.com/articles/s41467-023-36297-3
LDPC,2019,paper,https://ieeexplore.ieee.org/document/8849814/
HEDGES,2020,paper,https://pnas.org/doi/full/10.1073/pnas.2004821117
