Equipment(细分型号?),Company,载片数或毛细管数,Lane/载片,支持读长,有效reads数,连续读取长度(CRL),最大数据产出/Run（通量？）,运行时间（总时间/平均时间）,载片类型（？）,类型,Source,Link,测序质量 (?,备注
DNBSEQ-T20×2RS,华大智造,6,1,"PE100, PE150","40B/载片 (PE100, PE150)",,72Tb,60h(PE100) ~ 80h(PE150),Slide,第2代,product,https://www.mgi-tech.com/products/instruments_info/44/,,
DNBSEQ-T10×4RS,华大智造,8,1,"PE100, PE150","45B/载片 (PE100), 32B (PE150)",,76.8Tb,96h(PE100) ~ 106h(PE150),Slide,第2代,product,https://www.mgi-tech.com/products/instruments_info/39/,,
NextSeq 2000/2000-CN,illumina,,,2*300bp（即PE300？）,100M-1.8B(单端),,540Gb(,8-44h,,第2代,product,https://www.illumina.com.cn/systems/sequencing-platforms/nextseq-1000-2000/specifications.html,,
DS3000,HITACHI,4,,,,"(QV20) 600(快速), 700(标准)",,≤32min(快速); ≤60min(标准),,第1代（毛细管电泳）,product,https://www.hitachi-hightech.com/cn/zhcn/products/healthcare/diagnosis/life-science/capillary-electrophoresis-sequencers/ds3000.html,,
SeqStudio,thermofisher,4,,,,,,,,第1代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/sanger-sequencing/genetic-analyzers/models/seqstudio.html,,样本容量：1块平板；96孔板；8联管（兼容）
SeqStudio 8/24 Flex,thermofisher,"8, 24",,,,,,,,第1代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/sanger-sequencing/genetic-analyzers/models/seqstudio-flex.html,,样本容量：4块平板；96孔板或384孔板；8联管（兼容）
3500基因分析仪,thermofisher,8,,,,,368 份样本/天（运行模块ShortReadSeqPOP7）,,,第1代,product,https://www.thermofisher.cn/order/catalog/product/4405673?SID=srch-srp-4405673,,样本容量：2块平板；96 孔板；8 联排管（兼容）
3500xL基因分析仪,thermofisher,24,,,,,1104 份样本/天（运行模块ShortReadSeqPOP7）,,,第1代,product,https://www.thermofisher.cn/order/catalog/product/4405633?SID=srch-srp-4405633,,样本容量：2块平板；384 孔板；8 联排管（兼容）
3730xl DNA分析仪,thermofisher,"48, 96",,,,,,,,第1代,product,https://www.thermofisher.cn/order/catalog/product/A41046?SID=srch-srp-A41046,,样本容量：16块平板；96孔板或384孔板
Ion GeneStudio S5,thermofisher,,,200bp-600bp,"60-80M(Ion 540, 200bp)",,15 Gb/天（一块Ion540芯片）,19 小时（Ion 540 芯片）,,第2代（芯片？）,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/next-generation-sequencing/instruments/ion-genestudio-system/models.html,,可能主要取决于兼容的芯片类型，以及数量？（包括读长，读段数量，输出，时间）
Ion GeneStudio S5 Plus,thermofisher,,,200bp-600bp,"100-130M(Ion 550, 200bp)",,30 Gb/天（两块Ion540芯片）,10 小时（Ion 540 芯片）；11.5小时（Ion 550 芯片）,,第2代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/next-generation-sequencing/instruments/ion-genestudio-system/models.html,,可能主要取决于兼容的芯片类型，以及数量？（包括读长，读段数量，输出，时间）
Ion GeneStudio S5 Prime,thermofisher,,,200bp-600bp,"100-130M(Ion 550, 201bp)",,50 Gb/天（两块Ion540芯片）,6.5 小时（Ion  540 芯片）；8.5小时（Ion  550 芯片）  ,,第2代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/next-generation-sequencing/instruments/ion-genestudio-system/models.html,,可能主要取决于兼容的芯片类型，以及数量？（包括读长，读段数量，输出，时间）
Ion PGM Sequencer,thermofisher,,,"200bp, 400bp",400k-5.5M,,2 Gb,2.3-7.3h,,第2代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/next-generation-sequencing/ion-torrent-next-generation-sequencing-workflow/ion-torrent-next-generation-sequencing-run-sequence/ion-pgm-system-for-next-generation-sequencing.html,,有3类芯片和2种读取长度的组合
Ion Proton Sequencer,thermofisher,,,200-base,60-80M,,10 Gb,2-4h,,第2代,product,https://www.thermofisher.cn/cn/zh/home/life-science/sequencing/next-generation-sequencing/ion-torrent-next-generation-sequencing-workflow/ion-torrent-next-generation-sequencing-run-sequence/ion-proton-system-for-next-generation-sequencing/ion-proton-system-specifications.html,,
Ion Torrent Genexus 集成测序仪,thermofisher,,4通道GX5芯片,400-base(GX5 Chip); 200-base(GX7 Chip),,,"12-15M(each lane, GX5 Chip); 20M(each lane, GX7 Chip)",,,第2代,product,https://www.thermofisher.cn/order/catalog/product/A45727?SID=srch-srp-A45727,,使用2块四通道GX5芯片（或GX7）；（不确定12-15M算reads还是output？或者可以换算？）
